"Herbivore, xylophagus","Herbivore, folivorous","Herbivore, nectarivorous/palnyvorous","Herbivore, phytosuccivorous","Herbivore, algivorous","Herbivore, frugivore","Herbivore, radicivorous","Herbivore, granivorous","Carnivore, parasitoid","Carnivore, entomophagous","Carnivore, parasitic","Decomposer, saprophytic","Decomposer, detrivorous","Fungivore, fungivorous"
lablab,uohi,Lablab,purpureus,,Passion fruit  Passionfruit,,,,,,,,zizaniae
Lippia,iaka,purpureus,lablab,,Passiflora edulis,,,,,,,,Climacodon
nodiflora,Juncus,lablab,Lippia,,Passiflora L.,,,,,,,,septentrionalis
lippia,effusus,Lippia,nodiflora,,Passifloraceae,,,,,,,,Cochliobolus
Lolium,soft,nodiflora,lippia,,Passion Flower,,,,,,,,cynodontis
multiflorum,rush,lippia,Lolium,,Peach,,,,,,,,Cochliobolus
annual,Lablab,Lolium,multiflorum,,Prunus persica,,,,,,,,lunatus
ryegrass,purpureus,multiflorum,annual,,Prunus,,,,,,,,Cochliobolus
Lolium,lablab,annual,ryegrass,,Rosaceae,,,,,,,,miyabeanus
perenne,Lippia,ryegrass,Lolium,,Rose,,,,,,,,Coleophoma
perennial,nodiflora,Lolium,perenne,,Pear,,,,,,,,empetri
ryegrass,lippia,perenne,perennial,,Pyrus,,,,,,,,Coleosporium
Lophostemon,Lolium,perennial,ryegrass,,Pyrus,,,,,,,,asterum
confertus,multiflorum,ryegrass,Lophostemon,,Rosaceae,,,,,,,,Coleosporium
syn,annual,Lophostemon,confertus,,Rose,,,,,,,,crowellii
Tristania,ryegrass,confertus,syn,,Pepino,,,,,,,,Coleosporium
conferta,Lolium,syn,Tristania,,Solanum muricatum,,,,,,,,jonesii
brushbox,perenne,Tristania,conferta,,Solanaceae,,,,,,,,Coleosporium
Lotus,perennial,conferta,brushbox,,Nightshade,,,,,,,,plumeriae
pedunculatus,ryegrass,brushbox,Lotus,,Nightshade,,,,,,,,Coleosporium
big,Lophostemon,Lotus,pedunculatus,,Persian melon,,,,,,,,tussilaginis
trefoil,confertus,pedunculatus,big,,Cucumis melo,,,,,,,,Collecephalus
Lycium,syn,big,trefoil,, variety ,,,,,,,,hemerocallidis
sandwicense,Tristania,trefoil,Lycium,,cantalupensis,,,,,,,,Colletotrichum
ohelo,conferta,Lycium,sandwicense,,Cucumis,,,,,,,,acutatum
kai,brushbox,sandwicense,ohelo,,Cucurbitaceae,,,,,,,,Colletotrichum
Magnifera,Lotus,ohelo,kai,,Gourd,,,,,,,,artocarpi
indica,pedunculatus,kai,Magnifera,,Peruvian groundcherry,,,,,,,,Colletotrichum
mango,big,Magnifera,indica,,Physalis peruviana,,,,,,,,capsici
kangit,trefoil,indica,mango,,Solanaceae,,,,,,,,Colletotrichum
idele,Lycium,mango,kangit,,Nightshade,,,,,,,,cereale
mago,sandwicense,kangit,idele,,Nightshade,,,,,,,,Colletotrichum
mangueira,ohelo,idele,mago,,Physalis,,,,,,,,circinans
Medicago,kai,mago,mangueira,,Physalis peruviana,,,,,,,,Colletotrichum
sativa,Magnifera,mangueira,Medicago,,Solanaceae,,,,,,,,coccodes
alfalfa,indica,Medicago,sativa,,Nightshade,,,,,,,,Colletotrichum
Melitotus,mango,sativa,alfalfa,,Nightshade,,,,,,,,dematium
sp,kangit,alfalfa,Melitotus,,Pineapple,,,,,,,,Colletotrichum
sweet,idele,Melitotus,sp,,Ananas comosus,,,,,,,,destructivum
clover,mago,sp,sweet,,Ananas,,,,,,,,Colletotrichum
Metrosideros,mangueira,sweet,clover,,Bromeliaceae,,,,,,,,fragariae
polymorpha,Medicago,clover,Metrosideros,,Pineapple,,,,,,,,Colletotrichum
ohi,sativa,Metrosideros,polymorpha,,Pitaya,,,,,,,,gloeosporioides
a,alfalfa,polymorpha,ohi,,Hylocereus undatus,,,,,,,,Colletotrichum
lehua,Melitotus,ohi,a,,Stenocereus,,,,,,,,gossypii
Morinda,sp,a,lehua,,Cactaceae,,,,,,,,Colletotrichum
citrifolia,sweet,lehua,Morinda,,Cactus,,,,,,,,graminicola
noni,clover,Morinda,citrifolia,,Plantain,,,,,,,,Colletotrichum
lada,Metrosideros,citrifolia,noni,,Musa,,,,,,,,higginsianum
nonu,polymorpha,noni,lada,, × ,,,,,,,,Colletotrichum
kesengel,ohi,lada,nonu,,paradisiaca,,,,,,,,lindemuthianum
i,a,nonu,kesengel,,Plantago,,,,,,,,Colletotrichum
nen,lehua,kesengel,i,,Musaceae,,,,,,,,musae
mangal,Morinda,i,nen,,Banana,,,,,,,,Colletotrichum
wag,citrifolia,nen,mangal,,Plum,,,,,,,,omnivorum
Indian,noni,mangal,wag,,Prunus domestica,,,,,,,,Colletotrichum
mulberry,lada,wag,Indian,,Prunus,,,,,,,,orbiculare
Musa,nonu,Indian,mulberry,,Rosaceae,,,,,,,,Colletotrichum
sp,kesengel,mulberry,Musa,,Rose,,,,,,,,pisi
cv,i,Musa,sp,,Pomegranate,,,,,,,,Colletotrichum
Santa,nen,sp,cv,,Punica granatum,,,,,,,,trichellum
Catarina,mangal,cv,Santa,,Punica,,,,,,,,Colletotrichum
Prata,wag,Santa,Catarina,,Lythraceae,,,,,,,,trifolii
dwarf,Indian,Catarina,Prata,,Pomegranate,,,,,,,,Colletotrichum
Brazilian,mulberry,Prata,dwarf,,Pomelo,,,,,,,,truncatum
banana,Musa,dwarf,Brazilian,,Citrus maxima,,,,,,,,Collybia
Myoporum,sp,Brazilian,banana,,Citrus,,,,,,,,semiusta
sandwicense,cv,banana,Myoporum,,Rutaceae,,,,,,,,Coniophora
naio,Santa,Myoporum,sandwicense,,Citrus fruit,,,,,,,,puteana
Nerium,Catarina,sandwicense,naio,,Prickly pear  Nopal,,,,,,,,Coniothyrium
oleander,Prata,naio,Nerium,,Opuntia,,,,,,,,concentricum
oleander,dwarf,Nerium,oleander,,Opuntia,,,,,,,,Coprinus
oliana,Brazilian,oleander,oleander,,Cactaceae,,,,,,,,atramentarius
Opuntia,banana,oleander,oliana,,Cactus,,,,,,,,Coprinus
ficusindica,Myoporum,oliana,Opuntia,,Prune,,,,,,,,comatus
panini,sandwicense,Opuntia,ficusindica,,Prunus domestica,,,,,,,,Cordana
prickly,naio,ficusindica,panini,,Prunus,,,,,,,,musae
pear,Nerium,panini,prickly,,Rosaceae,,,,,,,,Cordyceps
cactus,oleander,prickly,pear,,Rose,,,,,,,,militaris
Oryza,oleander,pear,cactus,,Quince,,,,,,,,Coriolopsis
sativa,oliana,cactus,Oryza,,Cydonia oblonga,,,,,,,,gallica
rice,Opuntia,Oryza,sativa,,Cydonia,,,,,,,,Corticium
Osteomeles,ficusindica,sativa,rice,,Rosaceae,,,,,,,,koleroga
anthyllidifolia,panini,rice,Osteomeles,,Rose,,,,,,,,Coryneopsis
ulei,prickly,Osteomeles,anthyllidifolia,,Raisin,,,,,,,,rubi
Osteospermum,pear,anthyllidifolia,ulei,,Vitis vinifera,,,,,,,,Corynespora
fruticosum,cactus,ulei,Osteospermum,,Vitis,,,,,,,,cassiicola
trailing,Oryza,Osteospermum,fruticosum,,Vitaceae,,,,,,,,Craterellus
African,sativa,fruticosum,trailing,,Grape,,,,,,,,cornucopioides
daisy,rice,trailing,African,,Raspberry,,,,,,,,Cronartium
Pandanus,Osteomeles,African,daisy,,Rubus idaeus,,,,,,,,coleosporioides
tectorius,anthyllidifolia,daisy,Pandanus,,Rubus,,,,,,,,Cronartium
hala,ulei,Pandanus,tectorius,,Rosaceae,,,,,,,,comandrae
kafu,Osteospermum,tectorius,hala,,Rose,,,,,,,,Cronartium
fasa,fruticosum,hala,kafu,,Redcurrant,,,,,,,,occidentale
ongor,trailing,kafu,fasa,,Ribes rubrum,,,,,,,,Cronartium
Paspalum,African,fasa,ongor,,Ribes,,,,,,,,quercuum
hieronymii,daisy,ongor,Paspalum,,Saxifragaceae,,,,,,,,Cronartium
cv,Pandanus,Paspalum,hieronymii,,Saxifrage,,,,,,,,ribicola
Tropic,tectorius,hieronymii,cv,,Rhubarb,,,,,,,,Cronartium
Lalo,hala,cv,Tropic,,Rheum rhabarbarum,,,,,,,,strobilinum
paspalum,kafu,Tropic,Lalo,,Rheum,,,,,,,,Cryphonectria
Paspalum,fasa,Lalo,paspalum,,Polygonaceae,,,,,,,,gyrosa
orbiculare,ongor,paspalum,Paspalum,,Vegetable,,,,,,,,Cryphonectria
mau,Paspalum,Paspalum,orbiculare,,Rose hip  Rosehip,,,,,,,,parasitica
u,hieronymii,orbiculare,mau,,Rosa canina,,,,,,,,Cryptocline
laiki,cv,mau,u,,Rosa,,,,,,,,betularum
ricegrass,Tropic,u,laiki,,Rosaceae,,,,,,,,Cryptocline
Paspalum,Lalo,laiki,ricegrass,,Rose,,,,,,,,cyclaminis
vaginatum,paspalum,ricegrass,Paspalum,,Ruby red grapefruit,,,,,,,,Cryptodiaporthe
seashore,Paspalum,Paspalum,vaginatum,,Citrus,,,,,,,,corni
paspalum,orbiculare,vaginatum,seashore,,paradisi,,,,,,,,Cryptoporus
Pennisetum,mau,seashore,paspalum,,Citrus,,,,,,,,volvatus
purpureum,u,paspalum,Pennisetum,,Rutaceae,,,,,,,,Cryptosphaeria
cv,laiki,Pennisetum,purpureum,,Citrus fruit,,,,,,,,ligniota
Mott,ricegrass,purpureum,cv,,Sloe,,,,,,,,Cryptosporella
Napiergrass,Paspalum,cv,Mott,,Prunus spinosa,,,,,,,,umbrina
Pennisetum,vaginatum,Mott,Napiergrass,,Prunus,,,,,,,,Cucurbitaria
purpureum,seashore,Napiergrass,Pennisetum,,Rosaceae,,,,,,,,staphula
x,paspalum,Pennisetum,purpureum,,Rose,,,,,,,,Curvularia
Pennisetum,Pennisetum,purpureum,x,,Starfruit,,,,,,,,geniculata
glaucum,purpureum,x,Pennisetum,,Averrhoa carambola,,,,,,,,Curvularia
cv,cv,Pennisetum,glaucum,,Averrhoa,,,,,,,,inaequalis
PMN,Mott,glaucum,cv,,Oxalidaceae,,,,,,,,Curvularia
Hybrid,Napiergrass,cv,PMN,,Oxalis,,,,,,,,trifolii
Napiergrass,Pennisetum,PMN,Hybrid,,Strawberry,,,,,,,,Cyathus
hybrid,purpureum,Hybrid,Napiergrass,,Fragaria,,,,,,,,stercoreus
Persea,x,Napiergrass,hybrid,,ananassa,,,,,,,,Cyathus
americana,Pennisetum,hybrid,Persea,,Fragaria,,,,,,,,striatus
avocado,glaucum,Persea,americana,,Rosaceae,,,,,,,,Cyclaneusma
Piper,cv,americana,avocado,,Rose,,,,,,,,minus
methysticum,PMN,avocado,Piper,,Sultana,,,,,,,,Cylindrobasidium
awa,Hybrid,Piper,methysticum,,Vitis vinifera,,,,,,,,corrugum
ava,Napiergrass,methysticum,awa,,Vitis,,,,,,,,Cylindrocarpon
kava,hybrid,awa,ava,,Vitaceae,,,,,,,,ianthothele
sakau,Persea,ava,kava,,Grape,,,,,,,,Cylindrocladium
Plumeria,americana,kava,sakau,,Tamarillo,,,,,,,,crotalariae
obtusa,avocado,sakau,Plumeria,,Solanum betaceum,,,,,,,,Cylindrocladium
plumeria,Piper,Plumeria,obtusa,,Solanaceae,,,,,,,,floridanum
Podocarpus,methysticum,obtusa,plumeria,,Nightshade,,,,,,,,Cylindrocladium
sp,awa,plumeria,Podocarpus,,Nightshade,,,,,,,,parasiticum
podocarpus,ava,Podocarpus,sp,,Tamarind,,,,,,,,Cylindrocladium
Polygonum,kava,sp,podocarpus,,Tamarindus indica,,,,,,,,pteridis
minus,sakau,podocarpus,Polygonum,,Tamarindus,,,,,,,,Cylindrocladium
var,Plumeria,Polygonum,minus,,Caesalpinioideae,,,,,,,,scoparium
procerum,obtusa,minus,var,,Tamarind Sub,,,,,,,,Cylindrosporium
kamole,plumeria,var,procerum,,Tangelo,,,,,,,,chrysanthemi
smartweed,Podocarpus,procerum,kamole,,Citrus,,,,,,,,Cylindrosporium
Polyscias,sp,kamole,smartweed,,tangelo,,,,,,,,salicinum
guilfoylei,podocarpus,smartweed,Polyscias,,Citrus,,,,,,,,Cylindrosporium
syn,Polygonum,Polyscias,guilfoylei,,Rutaceae,,,,,,,,saximontanense
Nothopanax,minus,guilfoylei,syn,,Citrus fruit,,,,,,,,Cymadothea
guilfoylei,var,syn,Nothopanax,,Tangerine,,,,,,,,trifolii
panax,procerum,Nothopanax,guilfoylei,,Citrus tangerina,,,,,,,,Cytospora
tanitani,kamole,guilfoylei,panax,,Citrus,,,,,,,,elaeagni
Portulaca,smartweed,panax,tanitani,,Rutaceae,,,,,,,,Cytospora
grandiflora,Polyscias,tanitani,Portulaca,,Citrus fruit,,,,,,,,gleditschiae
rosemoss,guilfoylei,Portulaca,grandiflora,,Ugli fruit,,,,,,,,Cytospora
Pouteria,syn,grandiflora,rosemoss,,Citrus reticulata,,,,,,,,negundinis
sandwicensis,Nothopanax,rosemoss,Pouteria,,Citrus paradisi,,,,,,,,Daedaleopsis
ala,guilfoylei,Pouteria,sandwicensis,,Citrus,,,,,,,,confragosa
a,panax,sandwicensis,ala,,Rutaceae,,,,,,,,Daldinia
Premna,tanitani,ala,a,,Citrus fruit,,,,,,,,concentrica
obtusifolia,Portulaca,a,Premna,,Watermelon,,,,,,,,Davisomycella
syn,grandiflora,Premna,obtusifolia,,Citrullus lanatus,,,,,,,,medusa
Premna,rosemoss,obtusifolia,syn,,Citrullus,,,,,,,,Davisomycella
serratifolia,Pouteria,syn,Premna,,Cucurbitaceae,,,,,,,,ponderosae
ahgao,sandwicensis,Premna,serratifolia,,Gourd,,,,,,,,Deightoniella
aloalo,ala,serratifolia,ahgao,,White currant,,,,,,,,torulosa
topwuk,a,ahgao,aloalo,,Ribes rubrum,,,,,,,,Dendrophoma
fienkack,Premna,aloalo,topwuk,,White grape,,,,,,,,zeae
arr,obtusifolia,topwuk,fienkack,,Ribes,,,,,,,,Diaporthe
nior,syn,fienkack,arr,,Saxifragaceae,,,,,,,,citri
lior,Premna,arr,nior,,Saxifrage,,,,,,,,Diaporthe
FALSE,serratifolia,nior,lior,,Youngberry,,,,,,,,helianthi
elder,ahgao,lior,FALSE,,Rubus ursinus,,,,,,,,Diaporthe
Pritchardia,aloalo,FALSE,elder,,Rubus,,,,,,,,phaseolorum
sp,topwuk,elder,Pritchardia,,Rosaceae,,,,,,,,Diaporthe
loulu,fienkack,Pritchardia,sp,,Rose,,,,,,,,phaseolorum
palm,arr,sp,loulu,,fruit,,,,,,,,var
Ptychosperma,nior,loulu,palm,,,,,,,,,,.
macarthurii,lior,palm,Ptychosperma,,,,,,,,,,caulivoraDiaporthe
Macarthur,FALSE,Ptychosperma,macarthurii,,,,,,,,,,phaseolorum
palm,elder,macarthurii,Macarthur,,,,,,,,,,var
Rumex,Pritchardia,Macarthur,palm,,,,,,,,,,.
acetosella,sp,palm,Rumex,,,,,,,,,,meridionalisDiaporthe
sheep,loulu,Rumex,acetosella,,,,,,,,,,phaseolorum
sorrel,palm,acetosella,sheep,,,,,,,,,,var
Saccharum,Ptychosperma,sheep,sorrel,,,,,,,,,,.
hybrid,macarthurii,sorrel,Saccharum,,,,,,,,,,phaseolorumDiaporthe
clone,Macarthur,Saccharum,hybrid,,,,,,,,,,phaseolorum
Moentai,palm,hybrid,clone,,,,,,,,,,var
wild,Rumex,clone,Moentai,,,,,,,,,,.
cane,acetosella,Moentai,wild,,,,,,,,,,sojaeDichomitus
hybrid,sheep,wild,cane,,,,,,,,,,squalens
Samanea,sorrel,cane,hybrid,,,,,,,,,,Didymella
saman,Saccharum,hybrid,Samanea,,,,,,,,,,applanata
syn,hybrid,Samanea,saman,,,,,,,,,,Didymellina
Albizia,clone,saman,syn,,,,,,,,,,poecilospora
saman,Moentai,syn,Albizia,,,,,,,,,,Diplocarpon
monkeypod,wild,Albizia,saman,,,,,,,,,,earlianum
filinganga,cane,saman,monkeypod,,,,,,,,,,Diplocarpon
gumorni,hybrid,monkeypod,filinganga,,,,,,,,,,mespili
tamalini,Samanea,filinganga,gumorni,,,,,,,,,,Diplocarpon
trongkonmames,saman,gumorni,tamalini,,,,,,,,,,rosae
Sapindus,syn,tamalini,trongkonmames,,,,,,,,,,Diplodia
saponaria,Albizia,trongkonmames,Sapindus,,,,,,,,,,frumenti
naupaka,saman,Sapindus,saponaria,,,,,,,,,,Diplodia
nanaso,monkeypod,saponaria,naupaka,,,,,,,,,,scrobiculata
manele,filinganga,naupaka,nanaso,,,,,,,,,,Diplodia
soapberry,gumorni,nanaso,manele,,,,,,,,,,tumefaciens
Scaevola,tamalini,manele,soapberry,,,,,,,,,,Discohainesia
sericea,trongkonmames,soapberry,Scaevola,,,,,,,,,,oenotherae
dwarf,Sapindus,Scaevola,sericea,,,,,,,,,,Discula
brassaia,saponaria,sericea,dwarf,,,,,,,,,,campestris
Schfflera,naupaka,dwarf,brassaia,,,,,,,,,,Discula
arboricola,nanaso,brassaia,Schfflera,,,,,,,,,,destructiva
makai,manele,Schfflera,arboricola,,,,,,,,,,Dolabra
Scirpus,soapberry,arboricola,makai,,,,,,,,,,nepheliae
maritimus,Scaevola,makai,Scirpus,,,,,,,,,,Dothiora
var,sericea,Scirpus,maritimus,,,,,,,,,,polyspora
paludosus,dwarf,maritimus,var,,,,,,,,,,Dothiorella
Scleria,brassaia,var,paludosus,,,,,,,,,,gleditschiae
sp,Schfflera,paludosus,Scleria,,,,,,,,,,Drechslera
cereal,arboricola,Scleria,sp,,,,,,,,,,avenae
rye,makai,sp,cereal,,,,,,,,,,Drechslera
Secale,Scirpus,cereal,rye,,,,,,,,,,dictyoides
cereale,maritimus,rye,Secale,,,,,,,,,,Drechslera
kolomona,var,Secale,cereale,,,,,,,,,,erythrospila
Senna,paludosus,cereale,kolomona,,,,,,,,,,Drechslera
guadichaudii,Scleria,kolomona,Senna,,,,,,,,,,gigantea
ohai,sp,Senna,guadichaudii,,,,,,,,,,Drechslera
Sesbania,cereal,guadichaudii,ohai,,,,,,,,,,poae
tomentosa,rye,ohai,Sesbania,,,,,,,,,,Drechslera
ohai,Secale,Sesbania,tomentosa,,,,,,,,,,setariae
Sesbania,cereale,tomentosa,ohai,,,,,,,,,,Echinodontium
tomentosa,kolomona,ohai,Sesbania,,,,,,,,,,tinctorium
f,Senna,Sesbania,tomentosa,,,,,,,,,,Elsinoe
arborea,guadichaudii,tomentosa,f,,,,,,,,,,ampelina
bristly,ohai,f,arborea,,,,,,,,,,Elsinoe
foxtail,Sesbania,arborea,bristly,,,,,,,,,,batatas
Setaria,tomentosa,bristly,foxtail,,,,,,,,,,Elsinoe
verticillata,ohai,foxtail,Setaria,,,,,,,,,,corni
ilima,Sesbania,Setaria,verticillata,,,,,,,,,,Elsinoe
Sida,tomentosa,verticillata,ilima,,,,,,,,,,fawcettii
fallax,f,ilima,Sida,,,,,,,,,,Elsinoe
ilima,arborea,Sida,fallax,,,,,,,,,,quercus-falcatae
papa,bristly,fallax,ilima,,,,,,,,,,Elsinoe
Sida,foxtail,ilima,papa,,,,,,,,,,rosarum
fallax,Setaria,papa,Sida,,,,,,,,,,Elsinoe
mamane,verticillata,Sida,fallax,,,,,,,,,,veneta
Sophora,ilima,fallax,mamane,,,,,,,,,,Elytroderma
chrysophylla,Sida,mamane,Sophora,,,,,,,,,,deformans
forage,fallax,Sophora,chrysophylla,,,,,,,,,,Embellisia
sorghum,ilima,chrysophylla,forage,,,,,,,,,,allii
hybrid,papa,forage,sorghum,,,,,,,,,,Endocronartium
Sorghum,Sida,sorghum,hybrid,,,,,,,,,,harknessii
bicolor,fallax,hybrid,Sorghum,,,,,,,,,,Endothia
sorghum,mamane,Sorghum,bicolor,,,,,,,,,,singularis
x,Sophora,bicolor,sorghum,,,,,,,,,,Entoleuca
sudangrass,chrysophylla,sorghum,x,,,,,,,,,,mammata
hybrid,forage,x,sudangrass,,,,,,,,,,Entyloma
Sorghum,sorghum,sudangrass,hybrid,,,,,,,,,,australe
bicolor,hybrid,hybrid,Sorghum,,,,,,,,,,Entyloma
x,Sorghum,Sorghum,bicolor,,,,,,,,,,compositarum
Sorghum,bicolor,bicolor,x,,,,,,,,,,Entyloma
bicolor,sorghum,x,Sorghum,,,,,,,,,,lineatum
var,x,Sorghum,bicolor,,,,,,,,,,Entyloma
sudanese,sudangrass,bicolor,var,,,,,,,,,,polysporum
aki,hybrid,var,sudanese,,,,,,,,,,Epichloe
aki,Sorghum,sudanese,aki,,,,,,,,,,typhina
totoput,bicolor,aki,aki,,,,,,,,,,Epicoccum
Sporobolus,x,aki,totoput,,,,,,,,,,nigrum
virginicus,Sorghum,totoput,Sporobolus,,,,,,,,,,Erysiphe
St,bicolor,Sporobolus,virginicus,,,,,,,,,,adunca
Augustinegrass,var,virginicus,St,,,,,,,,,,var
Stenotaphrum,sudanese,St,Augustinegrass,,,,,,,,,,.
secondatum,aki,Augustinegrass,Stenotaphrum,,,,,,,,,,aduncaErysiphe
shrubby,aki,Stenotaphrum,secondatum,,,,,,,,,,betae
stylo,totoput,secondatum,shrubby,,,,,,,,,,Erysiphe
Stylosanthes,Sporobolus,shrubby,stylo,,,,,,,,,,cichoracearum
scabra,virginicus,stylo,Stylosanthes,,,,,,,,,,Erysiphe
cv,St,Stylosanthes,scabra,,,,,,,,,,cruciferarum
Seca,Augustinegrass,scabra,cv,,,,,,,,,,Erysiphe
pukiawe,Stenotaphrum,cv,Seca,,,,,,,,,,diffusa
Styphelia,secondatum,Seca,pukiawe,,,,,,,,,,Erysiphe
tameiameiae,shrubby,pukiawe,Styphelia,,,,,,,,,,elevata
mahogany,stylo,Styphelia,tameiameiae,,,,,,,,,,Erysiphe
broad,Stylosanthes,tameiameiae,mahogany,,,,,,,,,,euonymi-japonici
leaved,scabra,mahogany,broad,,,,,,,,,,Erysiphe
Swietenia,cv,broad,leaved,,,,,,,,,,flexuosa
macrophylla,Seca,leaved,Swietenia,,,,,,,,,,Erysiphe
mahogany,pukiawe,Swietenia,macrophylla,,,,,,,,,,galeopsidis
Swietenia,Styphelia,macrophylla,mahogany,,,,,,,,,,Erysiphe
mahagoni,tameiameiae,mahogany,Swietenia,,,,,,,,,,graminis
Australian,mahogany,Swietenia,mahagoni,,,,,,,,,,f.sp
bushcherry,broad,mahagoni,Australian,,,,,,,,,,.
Syzygium,leaved,Australian,bushcherry,,,,,,,,,,triticiErysiphe
paniculatum,Swietenia,bushcherry,Syzygium,,,,,,,,,,lonicerae
syn,macrophylla,Syzygium,paniculatum,,,,,,,,,,Erysiphe
Eugenia,mahogany,paniculatum,syn,,,,,,,,,,necator
myrtifolia,Swietenia,syn,Eugenia,,,,,,,,,,Erysiphe
pink,mahagoni,Eugenia,myrtifolia,,,,,,,,,,palczewskii
tecoma,Australian,myrtifolia,pink,,,,,,,,,,Erysiphe
Tabebuia,bushcherry,pink,tecoma,,,,,,,,,,pisi
heterophylla,Syzygium,tecoma,Tabebuia,,,,,,,,,,Erysiphe
tamarind,paniculatum,Tabebuia,heterophylla,,,,,,,,,,pulchra
Tamarindus,syn,heterophylla,tamarind,,,,,,,,,,Erysiphe
indica,Eugenia,tamarind,Tamarindus,,,,,,,,,,syringae
FALSE,myrtifolia,Tamarindus,indica,,,,,,,,,,Erythricium
kamani,pink,indica,FALSE,,,,,,,,,,salmonicolor
talie,tecoma,FALSE,kamani,,,,,,,,,,Eudarluca
talisai,Tabebuia,kamani,talie,,,,,,,,,,caricis
miich,heterophylla,talie,talisai,,,,,,,,,,Eutypa
tropical,tamarind,talisai,miich,,,,,,,,,,lata
almond,Tamarindus,miich,tropical,,,,,,,,,,Eutypella
Terminalia,indica,tropical,almond,,,,,,,,,,parasitica
catappa,FALSE,almond,Terminalia,,,,,,,,,,Exobasidium
milo,kamani,Terminalia,catappa,,,,,,,,,,azaleae
binalo,talie,catappa,milo,,,,,,,,,,Exobasidium
banalo,talisai,milo,binalo,,,,,,,,,,camelliae
rosewood,miich,binalo,banalo,,,,,,,,,,Exobasidium
badrirt,tropical,banalo,rosewood,,,,,,,,,,oxycocci
kilulo,almond,rosewood,badrirt,,,,,,,,,,Exobasidium
panu,Terminalia,badrirt,kilulo,,,,,,,,,,rostrupii
polo,catappa,kilulo,panu,,,,,,,,,,Exobasidium
pone,milo,panu,polo,,,,,,,,,,vaccinii
bangbeng,binalo,polo,pone,,,,,,,,,,Exosporium
Thespesia,banalo,pone,bangbeng,,,,,,,,,,sambuci
populnea,rosewood,bangbeng,Thespesia,,,,,,,,,,Exserohilum
beach,badrirt,Thespesia,populnea,,,,,,,,,,rostratum
heliotrope,kilulo,populnea,beach,,,,,,,,,,Exserohilum
hunig,panu,beach,heliotrope,,,,,,,,,,turcicum
amoloset,polo,heliotrope,hunig,,,,,,,,,,Flammulina
chen,pone,hunig,amoloset,,,,,,,,,,velutipes
kiden,bangbeng,amoloset,chen,,,,,,,,,,Fomes
tausuni,Thespesia,chen,kiden,,,,,,,,,,fomentarius
techel,populnea,kiden,tausuni,,,,,,,,,,Fomitopsis
titin,beach,tausuni,techel,,,,,,,,,,cajanderi
sruhsruh,heliotrope,techel,titin,,,,,,,,,,Fomitopsis
Tournefortia,hunig,titin,sruhsruh,,,,,,,,,,pinicola
argentea,amoloset,sruhsruh,Tournefortia,,,,,,,,,,Fomitopsis
oyster,chen,Tournefortia,argentea,,,,,,,,,,rosea
plant,kiden,argentea,oyster,,,,,,,,,,Fusarium
Tradescantia,tausuni,oyster,plant,,,,,,,,,,avenaceum
spathacea,techel,plant,Tradescantia,,,,,,,,,,Fusarium
white,titin,Tradescantia,spathacea,,,,,,,,,,circinatum
clover,sruhsruh,spathacea,white,,,,,,,,,,Fusarium
Trifolium,Tournefortia,white,clover,,,,,,,,,,culmorum
repens,argentea,clover,Trifolium,,,,,,,,,,Fusarium
wheat,oyster,Trifolium,repens,,,,,,,,,,culmorum
Triticum,plant,repens,wheat,,,,,,,,,,var
aestivum,Tradescantia,wheat,Triticum,,,,,,,,,,.
signalgrass,spathacea,Triticum,aestivum,,,,,,,,,,cerealeFusarium
Urochloa,white,aestivum,signalgrass,,,,,,,,,,foetens
brizantha,clover,signalgrass,Urochloa,,,,,,,,,,Fusarium
syn,Trifolium,Urochloa,brizantha,,,,,,,,,,hostae
Brachiaria,repens,brizantha,syn,,,,,,,,,,Fusarium
brizantha,wheat,syn,Brachiaria,,,,,,,,,,oxysporum
green,Triticum,Brachiaria,brizantha,,,,,,,,,,Fusarium
panicgrass,aestivum,brizantha,green,,,,,,,,,,oxysporum
Urochloa,signalgrass,green,panicgrass,,,,,,,,,,f.sp
maxima,Urochloa,panicgrass,Urochloa,,,,,,,,,,.
syn,brizantha,Urochloa,maxima,,,,,,,,,,apiiFusarium
Panicum,syn,maxima,syn,,,,,,,,,,oxysporum
maximum,Brachiaria,syn,Panicum,,,,,,,,,,f.sp
var,brizantha,Panicum,maximum,,,,,,,,,,.
trichoglume,green,maximum,var,,,,,,,,,,asparagiFusarium
guineagrass,panicgrass,var,trichoglume,,,,,,,,,,oxysporum
Urochloa,Urochloa,trichoglume,guineagrass,,,,,,,,,,f.sp
maxima,maxima,guineagrass,Urochloa,,,,,,,,,,.
syn,syn,Urochloa,maxima,,,,,,,,,,barbatiFusarium
Panicum,Panicum,maxima,syn,,,,,,,,,,oxysporum
maximum,maximum,syn,Panicum,,,,,,,,,,f.sp
ohelo,var,Panicum,maximum,,,,,,,,,,.
Vaccinium,trichoglume,maximum,ohelo,,,,,,,,,,basiliciFusarium
reticulatum,guineagrass,ohelo,Vaccinium,,,,,,,,,,oxysporum
vetch,Urochloa,Vaccinium,reticulatum,,,,,,,,,,f.sp
woolypod,maxima,reticulatum,vetch,,,,,,,,,,.
Vicia,syn,vetch,woolypod,,,,,,,,,,canariensisFusarium
villosa,Panicum,woolypod,Vicia,,,,,,,,,,oxysporum
ssp,maximum,Vicia,villosa,,,,,,,,,,f.sp
